epoch,num_episodes,total_reward,reward_per_epoch,best_reward,mean_q,mean_q_considered
85,11,5970.0,542.727272727,800.0,9.59455279499,7.87138709548
86,14,5905.0,421.785714286,810.0,9.49983435765,9.02170386451
87,12,5795.0,482.916666667,675.0,9.52762005493,8.6343200427
88,9,5735.0,637.222222222,775.0,9.53045570746,7.76419041551
89,13,7165.0,551.153846154,1090.0,9.47476080634,8.46462395798
90,12,6280.0,523.333333333,800.0,9.41182663545,7.33359460003
91,10,6540.0,654.0,1445.0,9.44199099325,7.79898020548
92,11,6755.0,614.090909091,905.0,9.45609864332,7.95964028925
93,11,5620.0,510.909090909,745.0,9.42803842865,8.26606643919
94,11,6025.0,547.727272727,805.0,9.42568364426,7.97448055845
95,13,7480.0,575.384615385,850.0,9.43288448371,8.23183456075
96,11,6370.0,579.090909091,1175.0,9.43063269131,7.70049416061
97,12,5895.0,491.25,920.0,9.44755203292,7.98738096974
98,11,5840.0,530.909090909,1110.0,9.44632006235,8.38466555877
99,10,5870.0,587.0,985.0,9.57223825581,7.8003094906
100,10,5475.0,547.5,715.0,9.43415281475,7.84688011589
101,12,6295.0,524.583333333,790.0,9.43165261708,8.51075959537
102,9,6440.0,715.555555556,1040.0,9.49612212285,7.84697357711
103,11,5710.0,519.090909091,760.0,9.48799455121,8.11619131561
104,8,5840.0,730.0,980.0,9.45657584473,8.15196971036
105,11,6830.0,620.909090909,1050.0,9.3426677309,7.82652109082
106,13,5970.0,459.230769231,640.0,9.38091247573,7.91826440207
107,11,5415.0,492.272727273,925.0,9.37597605452,8.90534637669
108,14,6480.0,462.857142857,720.0,9.43425425351,7.82338375108
109,11,5415.0,492.272727273,830.0,9.37629702106,7.66132504982
110,12,6155.0,512.916666667,755.0,9.43038894221,8.07678352538
111,11,5510.0,500.909090909,835.0,9.26086321563,7.63394554124
112,11,5830.0,530.0,865.0,9.17758961856,7.58826127657
113,10,6140.0,614.0,1105.0,9.20387018204,7.60422003654
114,13,6960.0,535.384615385,965.0,9.18242814913,7.55208864651
115,12,4635.0,386.25,940.0,9.20344630718,8.46705641402
116,11,6585.0,598.636363636,1095.0,9.32330643058,7.94306899699
117,11,5160.0,469.090909091,1160.0,9.23572743446,8.13851369963
118,12,7310.0,609.166666667,1350.0,9.2779641448,7.65416046444
119,12,6580.0,548.333333333,940.0,9.22468709096,8.36118951214
120,13,6585.0,506.538461538,885.0,9.2142104508,8.27559026913
121,9,6230.0,692.222222222,950.0,9.20868233114,7.79081758801
122,12,8150.0,679.166666667,955.0,9.27773409873,7.89944573398
123,10,4660.0,466.0,690.0,9.34948033452,8.10545822805
124,10,5590.0,559.0,910.0,9.34823148385,8.00959944363
125,12,5920.0,493.333333333,840.0,9.2755783762,7.57235594902
126,9,5835.0,648.333333333,1005.0,9.26939102024,7.35132156648
127,13,6200.0,476.923076923,885.0,9.21623454869,8.12212230836
128,11,5900.0,536.363636364,1055.0,9.22892816052,8.22817807074
129,10,5980.0,598.0,1005.0,9.22514002666,7.66911841769
130,11,6345.0,576.818181818,775.0,9.14509932667,7.98623132406
131,12,6095.0,507.916666667,745.0,9.12505837679,8.07255527467
132,10,6045.0,604.5,1245.0,9.24038887024,7.93372113198
133,11,5440.0,494.545454545,605.0,9.26183567286,7.63424189819
134,10,6915.0,691.5,1375.0,9.21945515841,7.74285379419
135,11,5655.0,514.090909091,645.0,9.34672519311,7.59805693031
136,13,6850.0,526.923076923,745.0,9.28333361,7.71718144128
137,10,5905.0,590.5,830.0,9.24941415772,7.55342564059
138,11,5705.0,518.636363636,940.0,9.20995162711,7.54888311112
139,13,6480.0,498.461538462,770.0,9.33850118682,8.27826377834
140,11,6745.0,613.181818182,1035.0,9.24624285638,7.67777566843
141,12,5855.0,487.916666667,870.0,9.23775679901,7.88248925193
142,11,6400.0,581.818181818,1100.0,9.18105063409,8.10052262775
143,11,6515.0,592.272727273,1145.0,9.13252475843,7.63263658205
144,10,6620.0,662.0,1455.0,9.09465747446,7.24364275626
145,13,5895.0,453.461538462,805.0,9.16961247042,8.55911084245
146,11,5510.0,500.909090909,600.0,9.19558380619,7.6411359693
147,12,4710.0,392.5,765.0,9.23614596322,8.10693920978
