epoch,num_episodes,total_reward,reward_per_epoch,best_reward,mean_q
120,84,100100,1191.66666667,2690,5.68045258796
121,87,95995,1103.3908046,2675,5.59450605571
122,85,96805,1138.88235294,3025,5.52967939992
123,96,93360,972.5,2355,5.67380390113
124,84,90955,1082.79761905,1835,5.74171533372
125,80,97025,1212.8125,2895,5.65406249415
126,84,99775,1187.79761905,2430,5.54163242489
127,89,97685,1097.58426966,2035,5.30217132619
128,79,98965,1252.72151899,2590,5.40648649242
129,95,98460,1036.42105263,2090,5.48339226497
130,84,83950,999.404761905,2265,5.49545412075
131,80,94355,1179.4375,2615,5.3580522299
132,86,102270,1189.18604651,2690,5.48854979692
133,85,103240,1214.58823529,2600,5.5668519968
134,79,98895,1251.83544304,2360,5.58347542323
135,75,104850,1398.0,2895,5.62952978622
136,80,95175,1189.6875,2635,5.71992878061
137,77,102505,1331.23376623,2490,5.61321240226
138,78,97385,1248.52564103,2325,5.66922586635
139,79,109800,1389.87341772,2865,5.56009241018
140,78,103545,1327.5,2690,5.63123637836
141,87,103460,1189.1954023,3090,5.58831026722
142,88,93950,1067.61363636,1985,5.76843315456
143,85,105510,1241.29411765,2895,5.63877515718
144,82,106135,1294.32926829,3035,5.75055292025
145,73,101975,1396.91780822,2725,5.85674530603
146,76,103975,1368.09210526,2835,5.83016515195
147,84,105440,1255.23809524,2890,5.88118272305
148,93,93850,1009.13978495,2110,5.69746825669
149,82,92925,1133.23170732,2465,5.71060097132
150,79,103985,1316.26582278,2525,5.5669209864
151,82,103435,1261.40243902,2880,5.49342845917
152,76,103605,1363.22368421,2630,5.44081268702
153,81,99020,1222.4691358,2715,5.55540283069
154,86,91380,1062.55813953,1955,5.53580259927
155,82,104585,1275.42682927,2665,5.3960616539
156,90,99770,1108.55555556,2370,5.32343950763
157,73,96550,1322.60273973,2775,5.24051314525
158,81,100860,1245.18518519,2830,5.21709517077
159,88,106325,1208.23863636,2425,5.38288748343
160,86,102535,1192.26744186,2490,5.47763418846
161,70,110355,1576.5,2695,5.33873294339
162,75,95890,1278.53333333,2555,5.30792680044
163,83,98520,1186.98795181,2840,5.32039504703
164,70,105715,1510.21428571,3020,5.44843280725
165,79,103525,1310.44303797,2540,5.46945138112
166,81,109405,1350.67901235,2895,5.53126229946
167,71,100725,1418.66197183,2890,5.44726571932
168,80,95785,1197.3125,2575,5.49207526192
169,90,102520,1139.11111111,3135,5.49419190042
170,92,75905,825.054347826,2035,5.26016639214
171,74,100080,1352.43243243,3065,5.2343476506
172,92,94085,1022.66304348,2695,5.2912418789
173,79,105860,1340.0,2750,5.48003929
174,72,90920,1262.77777778,2865,5.40535776325
175,74,102010,1378.51351351,2810,5.45225283943
176,75,104485,1393.13333333,2810,5.35810470574
177,70,102325,1461.78571429,2845,5.40647173103
178,87,106145,1220.05747126,2625,5.4689864656
179,82,100230,1222.31707317,2665,5.39233096048
180,72,98435,1367.15277778,2755,5.45781508677
181,81,99700,1230.86419753,2835,5.46565195192
182,85,91275,1073.82352941,2435,5.45627645124
183,81,99360,1226.66666667,2550,5.35625477307
184,100,101800,1018.0,2460,5.39760602362
185,78,101680,1303.58974359,2710,5.54499768008
186,79,104310,1320.37974684,2450,5.58387089383
187,71,89540,1261.12676056,3070,5.43149896033
188,73,104535,1431.98630137,2695,5.52888419613
189,77,102550,1331.81818182,2940,5.32814905632
190,80,102710,1283.875,2405,5.35825384844
191,98,100330,1023.7755102,2350,5.49543624476
192,76,97960,1288.94736842,2645,5.58684675459
193,79,96885,1226.39240506,2630,5.48856497549
194,80,97925,1224.0625,2920,5.58758130807
195,75,106580,1421.06666667,2695,5.6113393186
196,82,107025,1305.18292683,2440,5.65184147865
197,76,95610,1258.02631579,2745,5.62311311048
198,77,105970,1376.23376623,2810,5.54241960756
199,81,97450,1203.08641975,2890,5.64219850849
200,76,96425,1268.75,2655,5.45285872076
