epoch,num_episodes,total_reward,reward_per_epoch,best_reward,mean_q
121,105,93230,887.904761905,1725,8.49762432169
122,92,92005,1000.05434783,2005,8.35669988241
123,85,88440,1040.47058824,2230,8.33097832801
124,99,94445,953.98989899,1670,8.20200790735
125,95,90560,953.263157895,1805,8.16946900058
126,98,93590,955.0,1930,7.98325582506
127,83,87055,1048.85542169,2195,8.06464462386
128,108,73235,678.101851852,1385,8.0442488599
129,109,87675,804.357798165,2175,8.09025763141
130,93,87050,936.021505376,1630,8.2183023921
131,112,78560,701.428571429,1690,8.25344004935
132,101,93830,929.00990099,1840,8.26085002022
133,85,84925,999.117647059,1955,8.30239793647
134,99,101335,1023.58585859,2300,8.36323914232
135,90,102220,1135.77777778,2165,8.23689378209
136,91,94620,1039.78021978,2690,8.43867624568
137,93,96850,1041.39784946,2210,8.46312370099
138,98,102850,1049.48979592,2035,8.58284199093
139,96,96020,1000.20833333,1750,8.8225519082
140,92,92120,1001.30434783,1875,8.67286292061
141,92,88035,956.902173913,2240,8.61467634056
142,94,100895,1073.35106383,2440,8.63371307126
143,92,90050,978.804347826,2565,8.43277710817
144,94,96010,1021.38297872,1955,8.72055491461
145,96,87410,910.520833333,1860,8.91407587109
146,97,99720,1028.04123711,2230,9.0451397003
147,94,106720,1135.31914894,1730,8.9986274573
148,89,90305,1014.66292135,1770,8.96051154144
149,79,84370,1067.97468354,1605,8.90477541531
150,98,98160,1001.63265306,2175,8.74392917267
151,90,93035,1033.72222222,2890,8.58760132863
152,89,85855,964.662921348,1650,8.52666943436
153,92,94325,1025.27173913,1840,8.5314521522
154,101,88745,878.663366337,1830,8.43457971751
155,92,95120,1033.91304348,1520,8.37939726542
156,89,94875,1066.01123596,2400,8.35974461296
157,84,94440,1124.28571429,2250,8.36990924204
158,92,83290,905.326086957,1860,8.33995028016
